onset	duration	trial_type	response_time	stim_file
6.0231	3.0007	face4r1ext_st	N/A	face4r1ext_st.mat
12.044	3.0007.1	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
18.065	3.0006	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
24.086	3.0006.1	animal5r3ext_st	N/A	animal5r3ext_st.mat
27.096	3.0009	animal1r1ext_st	N/A	animal1r1ext_st.mat
33.117	3.0006.2	animal1r5ext_st	N/A	animal1r5ext_st.mat
36.128	3.0007.2	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
39.138	3.0008	face4r5ext_st	N/A	face4r5ext_st.mat
42.148	3.0008.1	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
45.159	3.0007.3	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
51.18	3.0006.3	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
54.19	3.0008.2	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
57.201	3.0008.3	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
60.211	3.0008.4	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
66.232	3.0006.4	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
69.242	3.0008.5	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
72.253	3.0008.6	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
75.263	3.0008.7	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
81.284	3.0006.5	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
84.295	3.0008.8	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
87.305	3.0008.9	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
90.316	3.0008.10	animal2r3ext_st	N/A	animal2r3ext_st.mat
93.326	3.0008.11	face5r1ext_st	N/A	face5r1ext_st.mat
96.337	3.0007.4	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
99.347	3.0007.5	animal5r5ext_st	N/A	animal5r5ext_st.mat
102.36	3.0007.6	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
105.37	3.0008.12	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
108.38	3.0007.7	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
111.39	3.0007.8	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
114.4	3.0008.13	animal4r1ext_st	N/A	animal4r1ext_st.mat
117.41	3.0008.14	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
120.42	3.0007.9	animal5r4ext_st	N/A	animal5r4ext_st.mat
126.44	3.0007.10	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
132.46	3.0006.6	face4r4ext_st	N/A	face4r4ext_st.mat
135.47	3.0008.15	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
141.49	3.0006.7	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
144.5	3.0007.11	face2r3ext_st	N/A	face2r3ext_st.mat
150.52	3.0007.12	face2r5ext_st	N/A	face2r5ext_st.mat
153.54	3.0007.13	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
156.55	3.0008.16	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
159.56	3.0008.17	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
162.57	3.0008.18	face5r4ext_st	N/A	face5r4ext_st.mat
165.58	3.0007.14	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
171.6	3.0006.8	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
177.62	3.0006.9	animal3r3ext_st	N/A	animal3r3ext_st.mat
180.63	3.0007.15	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
186.65	3.0006.10	face2r4ext_st	N/A	face2r4ext_st.mat
189.66	3.0007.16	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
192.67	3.0008.19	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
195.68	3.0007.17	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
198.69	3.0007.18	animal4r3ext_st	N/A	animal4r3ext_st.mat
201.7	3.0008.20	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
204.71	3.0007.19	animal4r2ext_st	N/A	animal4r2ext_st.mat
207.72	3.0007.20	animal3r2ext_st	N/A	animal3r2ext_st.mat
210.73	3.0008.21	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
213.74	3.0007.21	animal5r1ext_st	N/A	animal5r1ext_st.mat
216.75	3.0008.22	face3r3ext_st	N/A	face3r3ext_st.mat
219.76	3.0008.23	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
222.78	3.0007.22	face1r5ext_st	N/A	face1r5ext_st.mat
225.79	3.0008.24	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
228.8	3.0007.23	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
234.82	3.0006.11	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
237.83	3.0008.25	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
240.84	3.0007.24	face1r2ext_st	N/A	face1r2ext_st.mat
243.85	3.0007.25	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
249.87	3.0007.26	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
252.88	3.0009.1	animal2r1ext_st	N/A	animal2r1ext_st.mat
255.89	3.0007.27	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
258.9	3.0008.26	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
261.91	3.0008.27	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
267.93	3.0006.12	face4r3ext_st	N/A	face4r3ext_st.mat
270.94	3.0008.28	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
273.95	3.0007.28	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
279.97	3.0006.13	animal4r5ext_st	N/A	animal4r5ext_st.mat
285.99	3.0006.14	face4r2ext_st	N/A	face4r2ext_st.mat
292.02	3.0006.15	animal2r4ext_st	N/A	animal2r4ext_st.mat
298.04	3.0006.16	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
304.06	3.0006.17	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
307.07	3.0007.29	face5r3ext_st	N/A	face5r3ext_st.mat
310.08	3.0007.30	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
313.09	3.0008.29	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
316.1	3.0008.30	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
