onset	duration	trial_type	response_time	stim_file
6.0126	3.0004	face5r4ext_st	N/A	face5r4ext_st.mat
9.0189	3.0005	animal4r1ext_st	N/A	animal4r1ext_st.mat
15.032	3.0004.1	face1r2ext_st	N/A	face1r2ext_st.mat
18.038	3.0005.1	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
21.045	3.0005.2	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
24.051	3.0005.3	face2r4ext_st	N/A	face2r4ext_st.mat
30.064	3.0003	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
33.071	3.0005.4	face4r4ext_st	N/A	face4r4ext_st.mat
36.077	3.0005.5	face3r2ext_st	N/A	face3r2ext_st.mat
39.084	3.0005.6	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
42.09	3.0005.7	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
45.097	3.0005.8	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
51.11	3.0004.2	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
54.116	3.0005.9	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
57.122	3.0005.10	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
60.129	3.0005.11	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
63.135	3.0005.12	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
66.142	3.0005.13	animal4r2ext_st	N/A	animal4r2ext_st.mat
69.148	3.0005.14	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
72.155	3.0005.15	animal1r1ext_st	N/A	animal1r1ext_st.mat
78.168	3.0004.3	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
81.174	3.0005.16	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
84.181	3.0005.17	animal4r5ext_st	N/A	animal4r5ext_st.mat
87.187	3.0005.18	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
90.194	3.0005.19	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
93.2	3.0005.20	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
96.206	3.0024	animal5r1ext_st	N/A	animal5r1ext_st.mat
99.213	3.0005.21	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
102.22	3.0005.22	animal5r5ext_st	N/A	animal5r5ext_st.mat
105.23	3.0006	face2r5ext_st	N/A	face2r5ext_st.mat
108.23	3.0005.23	face1r4ext_st	N/A	face1r4ext_st.mat
114.25	3.0004.4	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
117.25	3.0005.24	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
120.26	3.0005.25	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
123.26	3.0005.26	face2r3ext_st	N/A	face2r3ext_st.mat
126.27	3.0005.27	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
129.28	3.0005.28	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
