name	x	y	z
AFz	9.625944681	77.97726896	65.53662279
Fp1	-17.38728422	89.49384143	30.56454875
Fp2	30.57694209	88.14509615	29.53560406
AF3	-20.00194831	75.37527092	60.49720974
AF4	37.41213018	75.45367438	58.22180477
F7	-55.61131689	55.05436478	28.03475684
F3	-28.40841781	49.84425409	76.06044602
Fz	9.028190863999999	49.40921768	85.62338248
F4	46.44363215	45.07947099	73.49892965
F8	64.31147877	48.77335354	30.20700755
FC5	-59.46343716	24.48216497	53.16257424
FC1	-18.30435721	24.20543417	88.19325952
FC2	30.17424778	20.24401201	88.5418159
FC6	69.37229109	21.03162891	51.15707501
T7	-73.00502454	0.043602307	19.23924349
C3	-52.47676296	-5.223875041	75.75135486
Cz	2.355004306	-16.41885092	95.5158954
C4	58.13398441	-17.1140979	76.31428926
T8	76.41534641	-1.17440913	17.70549884
CP5	-68.48126493	-36.44525843	42.09127351
CP1	-29.46392944	-48.31034958	80.69833729
CP2	31.32713127	-50.74634797	79.02969269
CP6	65.98453439	-35.16946913	38.73485877
P7	-57.36675777	-45.51748933	3.773882149
P3	-46.47952097	-61.17257227	54.21259415
Pz	-3.8622388919999997	-70.28069909	54.34653061
P4	40.57373318	-62.61509571	45.95248209
P8	57.56813111	-46.80868474	0.9787074929999999
PO3	-32.40738115	-72.93900612	13.34260457
PO4	30.55739167	-69.96493679	8.558659276
O1	-24.18433411	-65.09973192	-21.40964976
O2	21.37286704	-69.35829199	-12.19163714
AF7	-38.31996625	77.85817039	31.11212057
AF8	47.01701604	77.11551499	34.06633747
F5	-47.33598919	51.29167858	56.43553306
F1	-13.38195068	50.93578938	82.74030226
F2	32.77800336	46.88769875	82.21270675
F6	59.82474862	49.21801985	55.22264972
FT7	-64.90830429	28.73646929	20.93932672
FC3	-38.71257089	20.53656756	78.40397501
FCz	7.120099172000001	20.86145917	92.33492994
FC4	53.0405374	18.90657895	77.23492805
FT8	72.25191906	27.81661949	25.01613099
C5	-70.62696806	-7.054112438	48.37797843
C1	-27.16103398	-11.32753455	90.08611181
C2	33.59847585	-14.50655635	93.08541775
C6	73.99150538	-9.142637856	50.86418421
TP7	-65.76525825	-24.06932335	9.305695153
CP3	-52.99225976	-42.59002901	67.73515113
CPz	0.700517719	-52.73164485	82.92843321
CP4	55.62676658	-44.81384131	63.12714558
TP8	70.55760459	-24.27143063	10.04813258
P5	-56.55140728	-53.94699873	33.81756420000001
P1	-23.78869903	-70.46432087	51.90587621
P2	23.77017124	-68.28981987	53.48766114
P6	56.08501813	-50.19239583	23.99153908
PO7	-40.97390517	-63.66347938	-3.463520587
POz	-5.395777882999999	-79.81453822	19.749610699999998
PO8	41.28019162	-63.85976304	1.423193088
Oz	4.750556005	-73.48311890000001	-18.42853023
P9	-48.11983608	-41.513159	-26.50377809
P10	51.812319099999996	-37.06452095	-34.29127516
TP9	-60.40553323	-19.80101026	-23.40899009
