onset	duration	trial_type	response_time	stim_file
6.0147	3.0003	face5r2ext_st	N/A	face5r2ext_st.mat
12.028	3.0003.1	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
15.034	3.0005	face1r4ext_st	N/A	face1r4ext_st.mat
18.04	3.0005.1	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
21.047	3.0005.2	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
27.06	3.0003.2	animal3r2ext_st	N/A	animal3r2ext_st.mat
30.066	3.0005.3	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
33.073	3.0005.4	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
36.079	3.0005.5	animal3r3ext_st	N/A	animal3r3ext_st.mat
39.086	3.0004	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
42.092	3.0005.6	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
45.098	3.0005.7	face5r3ext_st	N/A	face5r3ext_st.mat
48.105	3.0006	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
54.118	3.0004.1	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
57.124	3.0005.8	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
60.131	3.0005.9	animal4r1ext_st	N/A	animal4r1ext_st.mat
63.137	3.0005.10	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
66.144	3.0004.2	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
69.15	3.0005.11	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
72.156	3.0005.12	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
78.17	3.0004.3	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
81.176	3.0004.4	animal2r2ext_st	N/A	animal2r2ext_st.mat
84.182	3.0005.13	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
87.189	3.0005.14	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
90.195	3.0004.5	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
93.202	3.0005.15	animal2r5ext_st	N/A	animal2r5ext_st.mat
99.215	3.0003.3	face4r1ext_st	N/A	face4r1ext_st.mat
105.23	3.0004.6	animal4r2ext_st	N/A	animal4r2ext_st.mat
108.23	3.0005.16	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
111.24	3.0005.17	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
114.25	3.0005.18	animal2r4ext_st	N/A	animal2r4ext_st.mat
117.25	3.0005.19	animal4r4ext_st	N/A	animal4r4ext_st.mat
120.26	3.0005.20	face4r5ext_st	N/A	face4r5ext_st.mat
123.27	3.0004.7	face5r4ext_st	N/A	face5r4ext_st.mat
126.27	3.0005.21	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
129.28	3.0006.1	animal5r5ext_st	N/A	animal5r5ext_st.mat
132.29	3.0005.22	animal4r3ext_st	N/A	animal4r3ext_st.mat
135.29	3.0005.23	face4r3ext_st	N/A	face4r3ext_st.mat
138.3	3.0005.24	face1r3ext_st	N/A	face1r3ext_st.mat
141.3	3.0006.2	animal5r4ext_st	N/A	animal5r4ext_st.mat
144.31	3.0005.25	face3r3ext_st	N/A	face3r3ext_st.mat
150.32	3.0004.8	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
153.33	3.0006.3	animal3r5ext_st	N/A	animal3r5ext_st.mat
156.34	3.0005.26	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
162.35	3.0003.4	animal5r2ext_st	N/A	animal5r2ext_st.mat
165.36	3.0006.4	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
168.36	3.0005.27	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
171.37	3.0005.28	animal2r1ext_st	N/A	animal2r1ext_st.mat
174.38	3.0005.29	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
177.38	3.0006.5	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
180.39	3.0005.30	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
183.4	3.0004.9	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
186.4	3.0006.6	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
189.41	3.0005.31	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
