name	x	y	z
AFz	-0.068225073	72.61459749	73.47250791
Fp1	-28.73344757	85.92240407	42.90247332
Fp2	23.88281972	89.58666257	42.34508464
AF3	-30.14283656	68.35183876	68.01520572
AF4	31.76920955	68.89292931	68.14279847
F7	-59.9289697	50.73448355	35.41102867
F3	-38.36818014	40.31579658	79.58257231
Fz	5.229233456	40.09359799	91.31591022
F4	43.21006429	40.25936847	77.61025202
F8	63.09396575	50.43956275	36.00057374
FC5	-66.05239292	17.69302553	56.779430500000004
FC1	-18.70713858	8.446283966000001	97.07448519
FC2	32.26873336	8.34669938	91.10713081
FC6	66.88082299	20.90772094	54.08928006
T7	-77.03244484	2.374433631	23.49720254
C3	-53.66895889	-17.48464398	81.28103225
Cz	3.3955087689999996	-27.67717848	102.472073
C4	56.75349078	-18.40270502	74.92924146
T8	73.97570350000001	-3.599053943	19.5691354
CP5	-71.65511946	-33.03224599	46.35281009
CP1	-26.61030699	-56.76472256	84.35012805
CP2	29.06937912	-58.4501989	80.80187723
CP6	68.72195079	-40.3607893	36.44312862
P7	-64.82967882	-50.01727907	11.0734445
P3	-47.62837943	-64.99421882	56.48365154
Pz	-0.745878541	-80.55194404	61.33611436
P4	43.9259222	-68.01491606	51.37764835
P8	59.515831299999995	-53.50706639	3.391820309
PO3	-36.51410825	-80.88774971	25.1420039
PO4	31.17608381	-80.67496212	18.52960592
O1	-39.32259335	-71.97580903	-21.76381119
O2	19.84982446	-80.37968307	-14.69279141
AF7	-48.49658186	71.82983864	39.40106493
AF8	49.247568900000005	74.45929029999999	41.00739016
F5	-55.57868902	43.95148453	59.01464433
F1	-18.67544795	40.38319891	87.60286364
F2	27.71642149	37.82891983	86.76528601
F6	57.68062366	46.229585799999995	60.93363826
FT7	-70.10585473	26.89814398	29.31005602
FC3	-45.68369676	9.287960568999999	81.95120202
FCz	3.02872943	7.5940707089999995	99.64823851
FC4	50.28889763	10.19952924	79.62558562
FT8	70.79777335	25.57897664	25.35404641
C5	-72.4609912	-7.350702922999999	56.506065500000005
C1	-25.85936857	-19.76866887	98.20768259
C2	32.01511291	-24.87993551	93.43691065
C6	74.23047481	-11.64067144	49.64143677
TP7	-72.39302227	-27.46947966	18.15985538
CP3	-51.83928756	-45.84108858	72.85910602
CPz	0.9555546640000001	-61.68048743	86.07350063
CP4	55.78379565	-46.94555079	65.63534823
TP8	69.50503519	-31.40543266	4.919231058
P5	-58.92464489	-58.50996181	33.74531245
P1	-25.8523833	-76.4478316	56.97526644
P2	24.57070472	-78.37442883	52.12675855
P6	54.75995825	-61.19503731	26.04279138
PO7	-48.19157608	-69.74741132	2.362730498
POz	-1.518447748	-87.09895782	22.77594694
PO8	43.69894172	-70.16624874	-5.394199412000001
Oz	-3.491330767	-83.92783769	-15.72517434
P9	-61.46219744	-44.49484825	-21.96498679
P10	50.029959000000005	-46.86677195	-34.70313691
TP9	-73.24747709	-22.39499632	-15.6894404
