onset	duration	trial_type	response_time	stim_file
6.024	3.0004	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
9.0303	3.0005	animal2r2ext_st	N/A	animal2r2ext_st.mat
12.037	3.0005.1	animal1r2ext_st	N/A	animal1r2ext_st.mat
15.043	3.0006	animal1r4ext_st	N/A	animal1r4ext_st.mat
21.056	3.0004.1	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
24.063	3.0005.2	face4r1ext_st	N/A	face4r1ext_st.mat
30.076	3.0003	face1r2ext_st	N/A	face1r2ext_st.mat
33.082	3.0005.3	animal3r4ext_st	N/A	animal3r4ext_st.mat
39.095	3.0004.2	face2r3ext_st	N/A	face2r3ext_st.mat
42.102	3.0005.4	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
45.108	3.0005.5	animal2r3ext_st	N/A	animal2r3ext_st.mat
51.121	3.0004.3	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
57.134	3.0004.4	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
63.147	3.0004.5	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
66.153	3.0006.1	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
69.16	3.0005.6	animal1r1ext_st	N/A	animal1r1ext_st.mat
72.166	3.0005.7	face1r3ext_st	N/A	face1r3ext_st.mat
75.173	3.0006.2	animal3r2ext_st	N/A	animal3r2ext_st.mat
78.179	3.0007	face4r2ext_st	N/A	face4r2ext_st.mat
81.186	3.0005.8	face3r4ext_st	N/A	face3r4ext_st.mat
84.192	3.0006.3	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
87.199	3.0005.9	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
90.205	3.0005.10	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
93.212	3.0004.6	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
96.218	3.0004.7	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
99.225	3.0005.11	face3r5ext_st	N/A	face3r5ext_st.mat
105.24	3.0003.1	animal5r1ext_st	N/A	animal5r1ext_st.mat
108.24	3.0005.12	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
111.25	3.0005.13	animal5r2ext_st	N/A	animal5r2ext_st.mat
114.26	3.0006.4	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
117.26	3.0005.14	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
120.27	3.0005.15	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
123.28	3.0005.16	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
126.28	3.0005.17	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
129.29	3.0005.18	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
132.3	3.0005.19	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
135.3	3.0005.20	animal3r1ext_st	N/A	animal3r1ext_st.mat
138.31	3.0005.21	face4r5ext_st	N/A	face4r5ext_st.mat
141.32	3.0005.22	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
147.33	3.0004.8	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
150.33	3.0005.23	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
153.34	3.0005.24	animal4r3ext_st	N/A	animal4r3ext_st.mat
156.35	3.0005.25	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
159.35	3.0005.26	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
162.36	3.0006.5	face2r1ext_st	N/A	face2r1ext_st.mat
165.37	3.0005.27	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
168.37	3.0004.9	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
174.39	3.0003.2	face5r3ext_st	N/A	face5r3ext_st.mat
180.4	3.0003.3	face3r1ext_st	N/A	face3r1ext_st.mat
183.41	3.0005.28	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
186.41	3.0006.6	animal5r4ext_st	N/A	animal5r4ext_st.mat
189.42	3.0005.29	animal3r3ext_st	N/A	animal3r3ext_st.mat
192.43	3.0005.30	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
195.43	3.0006.7	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
201.44	3.0003.4	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
207.46	3.0004.10	face1r4ext_st	N/A	face1r4ext_st.mat
213.47	3.0003.5	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
216.48	3.0005.31	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
219.48	3.0005.32	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
222.49	3.0005.33	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
225.5	3.0005.34	face3r3ext_st	N/A	face3r3ext_st.mat
228.5	3.0006.8	animal5r3ext_st	N/A	animal5r3ext_st.mat
231.51	3.0005.35	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
234.52	3.0005.36	face5r4ext_st	N/A	face5r4ext_st.mat
237.52	3.0005.37	animal2r1ext_st	N/A	animal2r1ext_st.mat
243.54	3.0004.11	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
246.54	3.0005.38	face1r5ext_st	N/A	face1r5ext_st.mat
249.55	3.0005.39	face5r1ext_st	N/A	face5r1ext_st.mat
252.55	3.0006.9	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
255.56	3.0005.40	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
258.57	3.0005.41	animal4r2ext_st	N/A	animal4r2ext_st.mat
261.57	3.0005.42	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
264.58	3.0006.10	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
267.59	3.0005.43	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
270.59	3.0005.44	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
273.6	3.0005.45	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
279.61	3.0004.12	animal5r5ext_st	N/A	animal5r5ext_st.mat
282.62	3.003	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
285.63	3.0005.46	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
288.63	3.0005.47	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
291.64	3.0005.48	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
294.65	3.0005.49	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
297.65	3.0005.50	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
300.66	3.0005.51	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
303.66	3.0005.52	face1r1ext_st	N/A	face1r1ext_st.mat
309.68	3.0004.13	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
312.68	3.0005.53	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
315.69	3.0005.54	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
318.7	3.0005.55	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
321.7	3.0005.56	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
327.72	3.0004.14	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
330.72	3.0006.11	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
333.73	3.0006.12	face2r5ext_st	N/A	face2r5ext_st.mat
339.74	3.0004.15	animal4r5ext_st	N/A	animal4r5ext_st.mat
342.75	3.0005.57	face3r2ext_st	N/A	face3r2ext_st.mat
345.76	3.0005.58	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
351.77	3.0003.6	animal1r3ext_st	N/A	animal1r3ext_st.mat
354.77	3.0005.59	face4r4ext_st	N/A	face4r4ext_st.mat
357.78	3.0006.13	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
363.79	3.0003.7	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
369.81	3.0004.16	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
375.84	3.0003.8	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
381.85	3.0005.60	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
384.86	3.0005.61	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
387.86	3.0005.62	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
393.88	3.0003.9	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
396.88	3.0005.63	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
399.89	3.0005.64	animal2r4ext_st	N/A	animal2r4ext_st.mat
402.9	3.0005.65	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
408.91	3.0004.17	animal1r5ext_st	N/A	animal1r5ext_st.mat
414.92	3.0004.18	animal4r1ext_st	N/A	animal4r1ext_st.mat
417.93	3.0006.14	face2r2ext_st	N/A	face2r2ext_st.mat
420.93	3.0005.66	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
423.94	3.0005.67	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
426.95	3.0005.68	animal3r5ext_st	N/A	animal3r5ext_st.mat
432.96	3.0003.10	face5r5ext_st	N/A	face5r5ext_st.mat
438.97	3.0004.19	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
441.98	3.0006.15	face2r4ext_st	N/A	face2r4ext_st.mat
447.99	3.0003.11	animal2r5ext_st	N/A	animal2r5ext_st.mat
451	3.0005.69	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
457.01	3.0004.20	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
460.02	3.0005.70	animal4r4ext_st	N/A	animal4r4ext_st.mat
463.02	3.0005.71	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
466.03	3.0005.72	face4r3ext_st	N/A	face4r3ext_st.mat
469.04	3.0004.21	face5r2ext_st	N/A	face5r2ext_st.mat
