onset	duration	trial_type	response_time	stim_file
6.0182	3.0004	face4r5ext_st	N/A	face4r5ext_st.mat
12.031	3.0004.1	face4r2ext_st	N/A	face4r2ext_st.mat
15.037	3.0005	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
18.044	3.0005.1	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
21.05	3.0005.2	face3r1ext_st	N/A	face3r1ext_st.mat
27.063	3.0004.2	face2r1ext_st	N/A	face2r1ext_st.mat
30.07	3.0005.3	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
33.076	3.0005.4	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
36.083	3.0005.5	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
39.089	3.0006	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
42.096	3.0005.6	animal4r3ext_st	N/A	animal4r3ext_st.mat
45.102	3.0005.7	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
48.109	3.0006.1	animal2r4ext_st	N/A	animal2r4ext_st.mat
51.115	3.0004.3	face4r4ext_st	N/A	face4r4ext_st.mat
54.122	3.0005.8	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
60.135	3.0003	face5r2ext_st	N/A	face5r2ext_st.mat
63.141	3.0005.9	face3r2ext_st	N/A	face3r2ext_st.mat
66.148	3.0006.2	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
69.154	3.0005.10	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
75.167	3.0004.4	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
78.173	3.0005.11	face2r3ext_st	N/A	face2r3ext_st.mat
84.187	3.0003.1	face1r2ext_st	N/A	face1r2ext_st.mat
87.193	3.0005.12	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
90.199	3.0005.13	animal2r5ext_st	N/A	animal2r5ext_st.mat
93.206	3.0005.14	animal2r2ext_st	N/A	animal2r2ext_st.mat
96.212	3.0005.15	animal1r1ext_st	N/A	animal1r1ext_st.mat
99.219	3.0005.16	face2r4ext_st	N/A	face2r4ext_st.mat
105.23	3.0004.5	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
108.24	3.0005.17	animal1r4ext_st	N/A	animal1r4ext_st.mat
111.24	3.0005.18	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
117.26	3.0004.6	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
120.26	3.0005.19	face4r1ext_st	N/A	face4r1ext_st.mat
123.27	3.0005.20	animal1r5ext_st	N/A	animal1r5ext_st.mat
126.28	3.0005.21	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
129.28	3.0005.22	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
132.29	3.0005.23	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
135.3	3.0005.24	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
138.3	3.0005.25	animal2r1ext_st	N/A	animal2r1ext_st.mat
141.31	3.0005.26	face1r4ext_st	N/A	face1r4ext_st.mat
144.32	3.0005.27	animal1r3ext_st	N/A	animal1r3ext_st.mat
147.32	3.0005.28	animal3r2ext_st	N/A	animal3r2ext_st.mat
150.33	3.0005.29	animal3r5ext_st	N/A	animal3r5ext_st.mat
153.34	3.0006.3	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
156.34	3.0005.30	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
159.35	3.0005.31	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
162.35	3.0005.32	animal4r2ext_st	N/A	animal4r2ext_st.mat
165.36	3.0006.4	face4r3ext_st	N/A	face4r3ext_st.mat
171.37	3.0004.7	animal5r4ext_st	N/A	animal5r4ext_st.mat
177.39	3.0004.8	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
183.4	3.0004.9	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
186.41	3.0005.33	animal5r5ext_st	N/A	animal5r5ext_st.mat
189.41	3.0006.5	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
192.42	3.0006.6	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
198.43	3.0004.10	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
204.45	3.0003.2	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
207.45	3.0005.34	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
210.46	3.0005.35	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
213.46	3.0005.36	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
216.47	3.0005.37	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
219.48	3.0005.38	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
222.48	3.0005.39	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
225.49	3.0005.40	animal4r4ext_st	N/A	animal4r4ext_st.mat
228.5	3.0005.41	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
234.51	3.0004.11	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
240.52	3.0004.12	face5r3ext_st	N/A	face5r3ext_st.mat
246.54	3.0004.13	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
252.55	3.0004.14	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
255.56	3.0005.42	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
258.56	3.0005.43	face1r3ext_st	N/A	face1r3ext_st.mat
261.57	3.0005.44	face5r5ext_st	N/A	face5r5ext_st.mat
264.57	3.0005.45	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
270.59	3.0003.3	animal2r3ext_st	N/A	animal2r3ext_st.mat
276.6	3.0003.4	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
279.61	3.0005.46	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
282.61	3.0005.47	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
288.63	3.0004.15	face3r5ext_st	N/A	face3r5ext_st.mat
291.63	3.0005.48	animal4r5ext_st	N/A	animal4r5ext_st.mat
297.65	3.0004.16	animal3r4ext_st	N/A	animal3r4ext_st.mat
300.65	3.0005.49	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
303.66	3.0005.50	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
306.67	3.0005.51	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
309.67	3.0004.17	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
315.69	3.0004.18	face2r2ext_st	N/A	face2r2ext_st.mat
321.7	3.0004.19	face5r1ext_st	N/A	face5r1ext_st.mat
324.7	3.0005.52	face3r4ext_st	N/A	face3r4ext_st.mat
330.72	3.0004.20	animal5r3ext_st	N/A	animal5r3ext_st.mat
336.73	3.0003.5	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
339.74	3.0005.53	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
342.74	3.0005.54	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
345.75	3.0005.55	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
348.76	3.0005.56	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
351.76	3.0005.57	animal5r2ext_st	N/A	animal5r2ext_st.mat
354.77	3.0005.58	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
360.78	3.0004.21	animal1r2ext_st	N/A	animal1r2ext_st.mat
363.79	3.0005.59	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
366.8	3.0005.60	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
372.81	3.0003.6	face5r4ext_st	N/A	face5r4ext_st.mat
378.82	3.0004.22	animal3r3ext_st	N/A	animal3r3ext_st.mat
381.83	3.0006.7	face3r3ext_st	N/A	face3r3ext_st.mat
384.83	3.0005.61	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
387.84	3.0005.62	face1r5ext_st	N/A	face1r5ext_st.mat
393.85	3.0004.23	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
396.86	3.0005.63	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
399.87	3.0006.8	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
402.87	3.0005.64	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
405.88	3.0005.65	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
408.89	3.0005.66	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
411.89	3.0005.67	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
414.9	3.0005.68	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
417.91	3.0006.9	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
420.91	3.0005.69	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
423.92	3.0005.70	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
429.93	3.0003.7	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
432.94	3.0005.71	animal3r1ext_st	N/A	animal3r1ext_st.mat
435.94	3.0005.72	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
438.95	3.0005.73	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
441.96	3.0006.10	face1r1ext_st	N/A	face1r1ext_st.mat
444.96	3.0005.74	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
447.97	3.0005.75	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
450.98	3.0005.76	animal4r1ext_st	N/A	animal4r1ext_st.mat
453.98	3.0005.77	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
460	3.0004.24	face2r5ext_st	N/A	face2r5ext_st.mat
463	3.0006.11	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
466.01	3.0005.78	animal5r1ext_st	N/A	animal5r1ext_st.mat
469.02	3.0005.79	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
