onset	duration	trial_type	response_time	stim_file
6.0164	3.0004	animal5r1ext_st	N/A	animal5r1ext_st.mat
9.0228	3.0005	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
12.029	3.0005.1	face2r2ext_st	N/A	face2r2ext_st.mat
15.036	3.0005.2	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
21.049	3.0004.1	animal4r4ext_st	N/A	animal4r4ext_st.mat
27.062	3.0003	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
30.068	3.0006	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
36.081	3.0004.2	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
39.088	3.0005.3	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
45.101	3.0004.3	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
48.107	3.0005.4	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
51.113	3.0006.1	face5r5ext_st	N/A	face5r5ext_st.mat
57.127	3.0004.4	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
60.133	3.0005.5	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
63.139	3.0005.6	animal3r5ext_st	N/A	animal3r5ext_st.mat
66.146	3.0005.7	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
69.152	3.0005.8	face1r4ext_st	N/A	face1r4ext_st.mat
72.159	3.0006.2	animal1r2ext_st	N/A	animal1r2ext_st.mat
75.165	3.0005.9	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
78.172	3.0005.10	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
81.178	3.0005.11	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
84.185	3.0005.12	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
87.191	3.0006.3	animal5r4ext_st	N/A	animal5r4ext_st.mat
90.198	3.0005.13	face1r5ext_st	N/A	face1r5ext_st.mat
96.211	3.0004.5	face2r5ext_st	N/A	face2r5ext_st.mat
99.217	3.0005.14	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
105.23	3.0004.6	animal5r5ext_st	N/A	animal5r5ext_st.mat
108.24	3.0005.15	face4r5ext_st	N/A	face4r5ext_st.mat
114.25	3.0004.7	face3r1ext_st	N/A	face3r1ext_st.mat
117.26	3.0005.16	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
120.26	3.0005.17	face5r2ext_st	N/A	face5r2ext_st.mat
123.27	3.0005.18	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
129.28	3.0004.8	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
132.29	3.0006.4	face1r2ext_st	N/A	face1r2ext_st.mat
135.29	3.0005.19	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
138.3	3.0006.5	animal4r3ext_st	N/A	animal4r3ext_st.mat
141.31	3.0005.20	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
144.31	3.0005.21	animal3r3ext_st	N/A	animal3r3ext_st.mat
147.32	3.0005.22	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
153.33	3.0004.9	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
156.34	3.0006.6	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
162.35	3.0004.10	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
165.36	3.0005.23	face4r1ext_st	N/A	face4r1ext_st.mat
168.37	3.0006.7	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
171.37	3.0005.24	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
174.38	3.0006.8	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
177.39	3.0006.9	face3r4ext_st	N/A	face3r4ext_st.mat
180.39	3.0006.10	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
183.4	3.0005.25	animal3r1ext_st	N/A	animal3r1ext_st.mat
186.4	3.0006.11	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
189.41	3.0005.26	face2r1ext_st	N/A	face2r1ext_st.mat
195.42	3.0003.1	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
198.43	3.0004.11	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
201.44	3.0005.27	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
204.44	3.0005.28	animal3r2ext_st	N/A	animal3r2ext_st.mat
207.45	3.0005.29	animal1r1ext_st	N/A	animal1r1ext_st.mat
213.46	3.0004.12	face4r4ext_st	N/A	face4r4ext_st.mat
216.47	3.0006.12	animal2r5ext_st	N/A	animal2r5ext_st.mat
219.48	3.0005.30	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
222.48	3.0006.13	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
225.49	3.0006.14	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
228.5	3.0005.31	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
231.5	3.0005.32	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
234.51	3.0005.33	animal5r3ext_st	N/A	animal5r3ext_st.mat
237.51	3.0006.15	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
240.52	3.0005.34	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
243.53	3.0005.35	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
246.53	3.0006.16	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
252.55	3.0004.13	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
255.55	3.0005.36	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
261.57	3.0005.37	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
267.58	3.0004.14	animal2r1ext_st	N/A	animal2r1ext_st.mat
270.59	3.0005.38	face2r3ext_st	N/A	face2r3ext_st.mat
276.6	3.0004.15	face1r1ext_st	N/A	face1r1ext_st.mat
279.61	3.0005.39	animal1r4ext_st	N/A	animal1r4ext_st.mat
282.61	3.0005.40	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
288.63	3.0004.16	face5r4ext_st	N/A	face5r4ext_st.mat
291.63	3.0005.41	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
294.64	3.0005.42	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
297.64	3.0005.43	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
300.65	3.0005.44	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
306.66	3.0003.2	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
312.68	3.0003.3	face5r3ext_st	N/A	face5r3ext_st.mat
315.68	3.0006.17	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
318.69	3.0005.45	animal4r1ext_st	N/A	animal4r1ext_st.mat
321.7	3.0006.18	face4r3ext_st	N/A	face4r3ext_st.mat
324.7	3.0005.46	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
330.72	3.0004.17	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
336.73	3.0003.4	face3r5ext_st	N/A	face3r5ext_st.mat
339.74	3.0005.47	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
342.74	3.0005.48	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
348.75	3.0004.18	animal3r4ext_st	N/A	animal3r4ext_st.mat
354.77	3.0003.5	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
357.77	3.0005.49	face5r1ext_st	N/A	face5r1ext_st.mat
363.79	3.0003.6	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
366.79	3.0005.50	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
369.8	3.0005.51	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
372.81	3.0006.19	face3r3ext_st	N/A	face3r3ext_st.mat
375.81	3.0005.52	animal5r2ext_st	N/A	animal5r2ext_st.mat
381.83	3.0003.7	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
384.83	3.0005.53	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
387.84	3.0005.54	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
390.85	3.0005.55	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
393.85	3.0005.56	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
396.86	3.0005.57	animal1r5ext_st	N/A	animal1r5ext_st.mat
399.86	3.0004.19	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
402.87	3.0006.20	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
405.88	3.0005.58	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
408.88	3.0005.59	animal2r2ext_st	N/A	animal2r2ext_st.mat
414.9	3.0004.20	animal2r3ext_st	N/A	animal2r3ext_st.mat
417.9	3.0005.60	face3r2ext_st	N/A	face3r2ext_st.mat
420.91	3.0005.61	animal4r5ext_st	N/A	animal4r5ext_st.mat
423.92	3.0005.62	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
426.92	3.0006.21	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
432.94	3.0004.21	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
435.94	3.0005.63	animal1r3ext_st	N/A	animal1r3ext_st.mat
438.95	3.0005.64	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
441.96	3.0005.65	face4r2ext_st	N/A	face4r2ext_st.mat
444.96	3.0006.22	face2r4ext_st	N/A	face2r4ext_st.mat
450.97	3.0004.22	face1r3ext_st	N/A	face1r3ext_st.mat
453.98	3.0006.23	animal2r4ext_st	N/A	animal2r4ext_st.mat
456.99	3.0005.66	animal4r2ext_st	N/A	animal4r2ext_st.mat
463	3.0004.23	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
466.01	3.0005.67	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
469.01	3.0006.24	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
