name	type	unit
AFz	EEG	microV
Fp1	EEG	microV
Fp2	EEG	microV
AF3	EEG	microV
AF4	EEG	microV
F7	EEG	microV
F3	EEG	microV
Fz	EEG	microV
F4	EEG	microV
F8	EEG	microV
FC5	EEG	microV
FC1	EEG	microV
FC2	EEG	microV
FC6	EEG	microV
T7	EEG	microV
C3	EEG	microV
Cz	EEG	microV
C4	EEG	microV
T8	EEG	microV
CP5	EEG	microV
CP1	EEG	microV
CP2	EEG	microV
CP6	EEG	microV
P7	EEG	microV
P3	EEG	microV
Pz	EEG	microV
P4	EEG	microV
P8	EEG	microV
PO3	EEG	microV
PO4	EEG	microV
O1	EEG	microV
A2	REF	microV
O2	EEG	microV
AF7	EEG	microV
AF8	EEG	microV
F5	EEG	microV
F1	EEG	microV
F2	EEG	microV
F6	EEG	microV
FT7	EEG	microV
FC3	EEG	microV
FCz	EEG	microV
FC4	EEG	microV
FT8	EEG	microV
C5	EEG	microV
C1	EEG	microV
C2	EEG	microV
C6	EEG	microV
TP7	EEG	microV
CP3	EEG	microV
CPz	EEG	microV
CP4	EEG	microV
TP8	EEG	microV
P5	EEG	microV
P1	EEG	microV
P2	EEG	microV
P6	EEG	microV
PO7	EEG	microV
POz	EEG	microV
PO8	EEG	microV
Oz	EEG	microV
P9	EEG	microV
P10	EEG	microV
TP9	EEG	microV
EOG1	HEOG	microV
EOG2	VEOG	microV
EOG3	HEOG	microV
TRIGGER	TRIG	microV
