onset	duration	trial_type	response_time	stim_file
6.024	3.0003	animal2r4ext_st	N/A	animal2r4ext_st.mat
9.0303	3.0004	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
12.037	3.0005	face4r5ext_st	N/A	face4r5ext_st.mat
15.043	3.0005.1	face2r3ext_st	N/A	face2r3ext_st.mat
18.05	3.0005.2	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
21.056	3.0005.3	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
27.069	3.0004.1	animal3r5ext_st	N/A	animal3r5ext_st.mat
30.076	3.0005.4	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
33.082	3.0005.5	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
36.088	3.0005.6	animal4r5ext_st	N/A	animal4r5ext_st.mat
39.095	3.0005.7	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
42.101	3.0005.8	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
45.108	3.0005.9	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
48.114	3.0006	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
54.127	3.0003.1	face1r2ext_st	N/A	face1r2ext_st.mat
57.134	3.0004.2	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
63.147	3.0003.2	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
66.153	3.0014	face5r5ext_st	N/A	face5r5ext_st.mat
69.16	3.0005.10	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
72.166	3.0005.11	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
75.173	3.0006.1	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
78.179	3.0005.12	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
81.186	3.0006.2	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
84.192	3.0005.13	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
87.198	3.0005.14	face3r5ext_st	N/A	face3r5ext_st.mat
90.205	3.0005.15	animal1r2ext_st	N/A	animal1r2ext_st.mat
93.211	3.0005.16	face4r2ext_st	N/A	face4r2ext_st.mat
96.218	3.0005.17	animal1r5ext_st	N/A	animal1r5ext_st.mat
99.224	3.0005.18	animal1r3ext_st	N/A	animal1r3ext_st.mat
102.23	3.0005.19	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
105.24	3.0005.20	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
108.24	3.0005.21	animal3r1ext_st	N/A	animal3r1ext_st.mat
111.25	3.0006.3	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
114.26	3.0005.22	animal1r1ext_st	N/A	animal1r1ext_st.mat
117.26	3.0005.23	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
120.27	3.0005.24	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
126.28	3.0004.3	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
129.29	3.0005.25	face5r4ext_st	N/A	face5r4ext_st.mat
135.3	3.0003.3	animal5r3ext_st	N/A	animal5r3ext_st.mat
138.31	3.0005.26	animal3r3ext_st	N/A	animal3r3ext_st.mat
144.32	3.0004.4	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
147.33	3.0005.27	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
153.34	3.0004.5	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
156.35	3.0005.28	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
159.35	3.0006.4	face4r3ext_st	N/A	face4r3ext_st.mat
165.37	3.0003.4	animal5r1ext_st	N/A	animal5r1ext_st.mat
168.37	3.0005.29	face1r1ext_st	N/A	face1r1ext_st.mat
171.38	3.0005.30	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
177.39	3.0004.6	face2r4ext_st	N/A	face2r4ext_st.mat
183.41	3.0004.7	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
186.41	3.0004.8	face3r2ext_st	N/A	face3r2ext_st.mat
189.42	3.0005.31	face3r3ext_st	N/A	face3r3ext_st.mat
195.43	3.0004.9	face4r1ext_st	N/A	face4r1ext_st.mat
198.44	3.0006.5	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
204.45	3.0004.10	face5r1ext_st	N/A	face5r1ext_st.mat
207.46	3.0005.32	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
210.46	3.0005.33	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
213.47	3.0005.34	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
216.48	3.0005.35	face2r1ext_st	N/A	face2r1ext_st.mat
219.48	3.0005.36	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
225.5	3.0004.11	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
231.51	3.0004.12	face5r3ext_st	N/A	face5r3ext_st.mat
234.52	3.0006.6	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
237.52	3.0005.37	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
240.53	3.0005.38	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
246.54	3.0004.13	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
252.55	3.0004.14	face4r4ext_st	N/A	face4r4ext_st.mat
255.56	3.0005.39	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
261.57	3.0003.5	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
264.58	3.0005.40	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
270.59	3.0004.15	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
