onset	duration	trial_type	response_time	stim_file
6.019	3.0004	animal5r5ext_st	N/A	animal5r5ext_st.mat
12.032	3.0003	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
18.045	3.0004.1	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
24.058	3.0003.1	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
27.064	3.0005	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
30.071	3.0005.1	face5r1ext_st	N/A	face5r1ext_st.mat
33.077	3.0005.2	animal3r5ext_st	N/A	animal3r5ext_st.mat
36.084	3.0004.2	animal1r1ext_st	N/A	animal1r1ext_st.mat
39.09	3.0005.3	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
42.113	3.0005.4	face2r4ext_st	N/A	face2r4ext_st.mat
45.12	3.0005.5	animal2r2ext_st	N/A	animal2r2ext_st.mat
51.133	3.0004.3	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
54.139	3.0006	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
57.146	3.0005.6	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
60.152	3.0005.7	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
66.165	3.0004.4	face1r3ext_st	N/A	face1r3ext_st.mat
69.171	3.0005.8	animal4r4ext_st	N/A	animal4r4ext_st.mat
75.185	3.0003.2	face2r5ext_st	N/A	face2r5ext_st.mat
78.191	3.0005.9	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
81.197	3.0004.5	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
84.204	3.0005.10	animal5r3ext_st	N/A	animal5r3ext_st.mat
90.217	3.0003.3	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
93.223	3.0005.11	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
99.236	3.0003.4	face5r5ext_st	N/A	face5r5ext_st.mat
102.24	3.0005.12	face1r1ext_st	N/A	face1r1ext_st.mat
108.26	3.0003.5	face1r5ext_st	N/A	face1r5ext_st.mat
114.27	3.0004.6	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
120.28	3.0003.6	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
123.29	3.0005.13	face2r3ext_st	N/A	face2r3ext_st.mat
129.3	3.0003.7	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
132.31	3.0005.14	animal1r5ext_st	N/A	animal1r5ext_st.mat
135.31	3.0006.1	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
138.32	3.0005.15	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
144.33	3.0004.7	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
147.34	3.0005.16	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
150.35	3.0005.17	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
153.35	3.0005.18	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
156.36	3.0004.8	animal1r4ext_st	N/A	animal1r4ext_st.mat
159.37	3.0006.2	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
162.37	3.0005.19	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
165.38	3.0005.20	face5r3ext_st	N/A	face5r3ext_st.mat
168.38	3.0005.21	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
171.39	3.0005.22	face4r3ext_st	N/A	face4r3ext_st.mat
174.4	3.0005.23	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
177.4	3.0006.3	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
180.41	3.0005.24	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
183.42	3.0005.25	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
189.43	3.0004.9	face4r4ext_st	N/A	face4r4ext_st.mat
192.44	3.0005.26	animal2r1ext_st	N/A	animal2r1ext_st.mat
195.44	3.0005.27	face3r5ext_st	N/A	face3r5ext_st.mat
198.45	3.0005.28	face3r1ext_st	N/A	face3r1ext_st.mat
204.46	3.0004.10	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
210.48	3.0004.11	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
213.48	3.0005.29	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
216.49	3.0005.30	animal3r4ext_st	N/A	animal3r4ext_st.mat
219.49	3.0005.31	animal3r2ext_st	N/A	animal3r2ext_st.mat
222.5	3.0005.32	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
225.51	3.0005.33	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
