onset	duration	trial_type	response_time	stim_file
6.0088	3.0004	face5r1ext_st	N/A	face5r1ext_st.mat
9.015	3.0005	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
12.021	3.0004.1	animal3r1ext_st	N/A	animal3r1ext_st.mat
15.028	3.0005.1	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
18.034	3.0005.2	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
21.04	3.0005.3	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
24.047	3.0005.4	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
27.053	3.0005.5	animal3r4ext_st	N/A	animal3r4ext_st.mat
30.059	3.0005.6	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
33.066	3.0006	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
36.072	3.0004.2	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
39.078	3.0005.7	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
45.091	3.0004.3	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
51.104	3.0003	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
54.11	3.0005.8	animal4r4ext_st	N/A	animal4r4ext_st.mat
57.117	3.0005.9	face3r4ext_st	N/A	face3r4ext_st.mat
63.146	3.0003.1	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
66.152	3.0005.10	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
69.159	3.0005.11	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
72.165	3.0005.12	face3r5ext_st	N/A	face3r5ext_st.mat
75.171	3.0005.13	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
78.178	3.0005.14	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
81.184	3.0005.15	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
84.19	3.0005.16	face2r4ext_st	N/A	face2r4ext_st.mat
87.197	3.0005.17	face1r4ext_st	N/A	face1r4ext_st.mat
90.203	3.0005.18	face2r1ext_st	N/A	face2r1ext_st.mat
93.209	3.0005.19	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
96.216	3.0006.1	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
99.222	3.0005.20	animal3r3ext_st	N/A	animal3r3ext_st.mat
102.23	3.0005.21	face2r5ext_st	N/A	face2r5ext_st.mat
105.23	3.0005.22	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
108.24	3.0005.23	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
111.25	3.0004.4	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
117.26	3.0004.5	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
120.27	3.0005.24	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
123.27	3.0005.25	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
126.28	3.0005.26	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
132.29	3.0003.2	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
138.3	3.0004.6	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
141.31	3.0005.27	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
144.32	3.0005.28	face1r5ext_st	N/A	face1r5ext_st.mat
147.32	3.0005.29	animal2r5ext_st	N/A	animal2r5ext_st.mat
150.33	3.0005.30	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
156.34	3.0004.7	animal4r5ext_st	N/A	animal4r5ext_st.mat
162.36	3.0004.8	face5r3ext_st	N/A	face5r3ext_st.mat
168.37	3.0003.3	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
171.37	3.0005.31	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
177.39	3.0004.9	face5r5ext_st	N/A	face5r5ext_st.mat
180.39	3.0005.32	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
186.41	3.0004.10	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
189.41	3.0005.33	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
192.42	3.0004.11	face4r2ext_st	N/A	face4r2ext_st.mat
195.43	3.0005.34	animal2r2ext_st	N/A	animal2r2ext_st.mat
201.44	3.0004.12	animal5r1ext_st	N/A	animal5r1ext_st.mat
204.44	3.0006.2	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
207.45	3.0006.3	face3r2ext_st	N/A	face3r2ext_st.mat
210.46	3.0005.35	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
213.46	3.0004.13	animal1r1ext_st	N/A	animal1r1ext_st.mat
216.47	3.0005.36	animal2r1ext_st	N/A	animal2r1ext_st.mat
219.48	3.0005.37	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
225.49	3.0003.4	face4r5ext_st	N/A	face4r5ext_st.mat
231.5	3.0004.14	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
234.51	3.0005.38	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
237.51	3.0005.39	animal5r5ext_st	N/A	animal5r5ext_st.mat
240.52	3.0005.40	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
246.53	3.0004.15	animal4r2ext_st	N/A	animal4r2ext_st.mat
249.54	3.0005.41	animal1r2ext_st	N/A	animal1r2ext_st.mat
252.55	3.0011	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
255.55	3.0004.16	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
261.56	3.0003.5	face4r1ext_st	N/A	face4r1ext_st.mat
264.57	3.0005.42	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
270.58	3.0004.17	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
273.59	3.0005.43	animal1r3ext_st	N/A	animal1r3ext_st.mat
276.6	3.0005.44	animal5r4ext_st	N/A	animal5r4ext_st.mat
279.6	3.0005.45	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
282.61	3.0005.46	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
288.62	3.0004.18	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
294.63	3.0003.6	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
300.65	3.0003.7	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
303.65	3.0005.47	face2r3ext_st	N/A	face2r3ext_st.mat
306.66	3.0005.48	face5r2ext_st	N/A	face5r2ext_st.mat
312.67	3.0004.19	animal1r5ext_st	N/A	animal1r5ext_st.mat
318.69	3.0003.8	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
321.69	3.0006.4	face2r2ext_st	N/A	face2r2ext_st.mat
324.7	3.0005.49	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
327.7	3.0005.50	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
333.72	3.0004.20	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
339.73	3.0003.9	animal5r3ext_st	N/A	animal5r3ext_st.mat
342.74	3.0005.51	face5r4ext_st	N/A	face5r4ext_st.mat
345.74	3.0006.5	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
351.76	3.0003.10	face4r4ext_st	N/A	face4r4ext_st.mat
354.76	3.0005.52	animal4r1ext_st	N/A	animal4r1ext_st.mat
357.77	3.0006.6	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
360.77	3.0005.53	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
363.78	3.0005.54	face1r3ext_st	N/A	face1r3ext_st.mat
366.79	3.0005.55	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
369.79	3.0005.56	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
372.8	3.0005.57	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
375.81	3.0005.58	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
378.81	3.0006.7	animal2r4ext_st	N/A	animal2r4ext_st.mat
381.82	3.0005.59	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
384.82	3.0005.60	face4r3ext_st	N/A	face4r3ext_st.mat
387.83	3.0005.61	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
390.84	3.0004.21	face1r1ext_st	N/A	face1r1ext_st.mat
393.84	3.0006.8	animal3r2ext_st	N/A	animal3r2ext_st.mat
399.86	3.0003.11	face1r2ext_st	N/A	face1r2ext_st.mat
402.86	3.0005.62	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
408.88	3.0003.12	animal2r3ext_st	N/A	animal2r3ext_st.mat
411.88	3.0004.22	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
417.89	3.0004.23	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
420.9	3.0005.63	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
423.91	3.0006.9	animal4r3ext_st	N/A	animal4r3ext_st.mat
426.91	3.0005.64	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
429.92	3.0005.65	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
435.93	3.0004.24	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
438.94	3.0005.66	face3r1ext_st	N/A	face3r1ext_st.mat
444.95	3.0003.13	face3r3ext_st	N/A	face3r3ext_st.mat
447.96	3.0005.67	animal3r5ext_st	N/A	animal3r5ext_st.mat
450.96	3.0005.68	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
453.97	3.0005.69	animal5r2ext_st	N/A	animal5r2ext_st.mat
456.98	3.0005.70	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
459.98	3.0005.71	animal1r4ext_st	N/A	animal1r4ext_st.mat
462.99	3.0005.72	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
466	3.0005.73	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
469	3.0005.74	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
