onset	duration	trial_type	response_time	stim_file
6.023	3.0003	animal3r1ext_st	N/A	animal3r1ext_st.mat
12.036	3.0003.1	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
18.048	3.0004	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
24.061	3.0004.1	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
30.074	3.0003.2	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
33.08	3.0006	animal1r4ext_st	N/A	animal1r4ext_st.mat
39.093	3.0003.3	face3r5ext_st	N/A	face3r5ext_st.mat
42.099	3.0005	animal2r4ext_st	N/A	animal2r4ext_st.mat
45.105	3.0006.1	face1r1ext_st	N/A	face1r1ext_st.mat
48.112	3.0005.1	face2r4ext_st	N/A	face2r4ext_st.mat
51.118	3.0005.2	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
54.124	3.0005.3	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
60.137	3.0004.2	face4r1ext_st	N/A	face4r1ext_st.mat
63.143	3.0006.2	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
66.15	3.0005.4	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
69.156	3.0004.3	face4r4ext_st	N/A	face4r4ext_st.mat
75.169	3.0003.4	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
78.175	3.0004.4	animal3r2ext_st	N/A	animal3r2ext_st.mat
81.182	3.0005.5	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
84.188	3.0005.6	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
90.201	3.0004.5	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
93.207	3.0005.7	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
99.22	3.0004.6	animal4r4ext_st	N/A	animal4r4ext_st.mat
102.23	3.0005.8	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
105.23	3.0005.9	face4r2ext_st	N/A	face4r2ext_st.mat
108.24	3.0005.10	animal3r4ext_st	N/A	animal3r4ext_st.mat
111.24	3.0005.11	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
114.25	3.0005.12	face2r2ext_st	N/A	face2r2ext_st.mat
117.26	3.0005.13	face3r1ext_st	N/A	face3r1ext_st.mat
120.26	3.0005.14	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
123.27	3.0005.15	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
126.28	3.0005.16	animal2r5ext_st	N/A	animal2r5ext_st.mat
129.28	3.0005.17	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
135.3	3.0004.7	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
138.3	3.0005.18	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
144.31	3.0004.8	face1r2ext_st	N/A	face1r2ext_st.mat
147.32	3.0005.19	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
150.33	3.0005.20	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
153.33	3.0005.21	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
156.34	3.0004.9	animal2r3ext_st	N/A	animal2r3ext_st.mat
159.35	3.0005.22	animal1r2ext_st	N/A	animal1r2ext_st.mat
162.35	3.0005.23	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
165.36	3.0005.24	animal1r1ext_st	N/A	animal1r1ext_st.mat
168.37	3.0005.25	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
171.37	3.0005.26	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
177.38	3.0004.10	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
180.39	3.0005.27	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
183.4	3.0006.3	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
186.4	3.0005.28	face4r5ext_st	N/A	face4r5ext_st.mat
189.41	3.0005.29	face3r2ext_st	N/A	face3r2ext_st.mat
192.42	3.0005.30	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
198.43	3.0004.11	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
201.44	3.0005.31	animal2r1ext_st	N/A	animal2r1ext_st.mat
207.45	3.0003.5	face2r5ext_st	N/A	face2r5ext_st.mat
210.45	3.0006.4	face5r2ext_st	N/A	face5r2ext_st.mat
213.46	3.0005.32	face5r3ext_st	N/A	face5r3ext_st.mat
219.47	3.0003.6	face1r4ext_st	N/A	face1r4ext_st.mat
222.48	3.0005.33	animal4r3ext_st	N/A	animal4r3ext_st.mat
225.49	3.0006.5	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
228.49	3.0005.34	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
234.51	3.0004.12	face2r3ext_st	N/A	face2r3ext_st.mat
237.51	3.0006.6	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
240.52	3.0005.35	face5r5ext_st	N/A	face5r5ext_st.mat
243.52	3.0005.36	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
246.53	3.0006.7	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
249.54	3.0005.37	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
252.54	3.0005.38	animal3r3ext_st	N/A	animal3r3ext_st.mat
258.56	3.0004.13	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
261.56	3.0005.39	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
264.57	3.0005.40	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
270.58	3.0004.14	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
273.59	3.0005.41	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
276.59	3.0005.42	face3r4ext_st	N/A	face3r4ext_st.mat
279.6	3.0005.43	animal4r2ext_st	N/A	animal4r2ext_st.mat
282.61	3.0005.44	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
285.61	3.0005.45	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
288.62	3.0004.15	animal3r5ext_st	N/A	animal3r5ext_st.mat
291.63	3.0006.8	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
297.64	3.0004.16	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
300.64	3.0005.46	animal5r2ext_st	N/A	animal5r2ext_st.mat
303.65	3.0004.17	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
309.66	3.0003.7	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
312.67	3.0005.47	animal4r1ext_st	N/A	animal4r1ext_st.mat
318.68	3.0004.18	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
321.69	3.0005.48	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
324.7	3.0005.49	face5r1ext_st	N/A	face5r1ext_st.mat
330.71	3.0003.8	face1r5ext_st	N/A	face1r5ext_st.mat
333.71	3.0006.9	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
339.73	3.0004.19	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
342.73	3.0005.50	animal5r5ext_st	N/A	animal5r5ext_st.mat
345.74	3.0005.51	animal1r5ext_st	N/A	animal1r5ext_st.mat
348.75	3.0005.52	animal2r2ext_st	N/A	animal2r2ext_st.mat
351.75	3.0005.53	face4r3ext_st	N/A	face4r3ext_st.mat
354.76	3.0005.54	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
357.77	3.0005.55	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
360.77	3.0005.56	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
363.78	3.0005.57	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
369.79	3.0004.20	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
372.8	3.0006.10	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
378.81	3.0004.21	animal1r3ext_st	N/A	animal1r3ext_st.mat
381.82	3.0004.22	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
384.82	3.0005.58	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
387.83	3.0005.59	face3r3ext_st	N/A	face3r3ext_st.mat
390.84	3.0004.23	animal5r4ext_st	N/A	animal5r4ext_st.mat
393.84	3.0005.60	face2r1ext_st	N/A	face2r1ext_st.mat
396.85	3.0005.61	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
399.85	3.0005.62	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
402.86	3.0006.11	animal5r1ext_st	N/A	animal5r1ext_st.mat
408.87	3.0004.24	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
411.88	3.0005.63	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
414.89	3.0005.64	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
417.89	3.0006.12	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
420.9	3.0005.65	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
423.9	3.0006.13	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
429.92	3.0004.25	animal4r5ext_st	N/A	animal4r5ext_st.mat
432.92	3.0006.14	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
438.94	3.0004.26	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
444.95	3.0004.27	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
450.96	3.0005.66	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
453.97	3.0005.67	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
456.97	3.0004.28	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
459.98	3.0005.68	animal5r3ext_st	N/A	animal5r3ext_st.mat
462.99	3.0005.69	face5r4ext_st	N/A	face5r4ext_st.mat
465.99	3.0005.70	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
469	3.0005.71	face1r3ext_st	N/A	face1r3ext_st.mat
