onset	duration	trial_type	response_time	stim_file
6.0299	3.0006	face2r1ext_st	N/A	face2r1ext_st.mat
12.076	3.0005	animal1r5ext_st	N/A	animal1r5ext_st.mat
18.089	3.0004	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
21.095	3.0005.1	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
24.102	3.0005.2	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
27.108	3.0005.3	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
30.115	3.0006.1	animal3r2ext_st	N/A	animal3r2ext_st.mat
33.121	3.0005.4	face4r5ext_st	N/A	face4r5ext_st.mat
36.128	3.0004.1	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
39.134	3.0005.5	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
45.147	3.0003	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
48.154	3.0006.2	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
54.167	3.0003.1	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
60.179	3.0004.2	face1r1ext_st	N/A	face1r1ext_st.mat
63.186	3.0006.3	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
66.192	3.0006.4	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
72.205	3.0003.2	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
78.218	3.0005.6	animal4r3ext_st	N/A	animal4r3ext_st.mat
84.231	3.0004.3	face2r3ext_st	N/A	face2r3ext_st.mat
87.237	3.0006.5	face3r2ext_st	N/A	face3r2ext_st.mat
90.244	3.0004.4	face5r2ext_st	N/A	face5r2ext_st.mat
93.25	3.0005.7	animal4r2ext_st	N/A	animal4r2ext_st.mat
99.263	3.0004.5	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
102.27	3.0006.6	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
105.28	3.0005.8	animal1r1ext_st	N/A	animal1r1ext_st.mat
108.28	3.0005.9	animal2r4ext_st	N/A	animal2r4ext_st.mat
111.29	3.0005.10	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
117.3	3.0004.6	face2r5ext_st	N/A	face2r5ext_st.mat
123.31	3.0004.7	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
129.33	3.0003.3	animal3r3ext_st	N/A	animal3r3ext_st.mat
132.33	3.0005.11	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
135.34	3.0005.12	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
141.35	3.0004.8	face5r1ext_st	N/A	face5r1ext_st.mat
144.36	3.0006.7	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
147.37	3.0005.13	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
150.37	3.0043	face3r4ext_st	N/A	face3r4ext_st.mat
153.4	3.0005.14	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
156.4	3.0005.15	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
159.41	3.0005.16	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
162.42	3.0005.17	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
165.42	3.0005.18	animal3r1ext_st	N/A	animal3r1ext_st.mat
168.43	3.0005.19	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
171.43	3.0005.20	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
174.44	3.0004.9	face3r5ext_st	N/A	face3r5ext_st.mat
177.45	3.0005.21	face4r3ext_st	N/A	face4r3ext_st.mat
180.45	3.0004.10	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
183.46	3.0005.22	animal4r1ext_st	N/A	animal4r1ext_st.mat
186.47	3.0005.23	animal3r4ext_st	N/A	animal3r4ext_st.mat
