onset	duration	trial_type	response_time	stim_file
6.0239	3.0006	face1r2ext_st	N/A	face1r2ext_st.mat
9.0302	3.0006.1	face1r3ext_st	N/A	face1r3ext_st.mat
12.037	3.0006.2	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
15.043	3.0006.3	face1r4ext_st	N/A	face1r4ext_st.mat
21.073	3.0003	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
27.086	3.0004	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
30.092	3.0005	animal3r4ext_st	N/A	animal3r4ext_st.mat
33.099	3.0005.1	animal3r5ext_st	N/A	animal3r5ext_st.mat
36.105	3.0006.4	face4r1ext_st	N/A	face4r1ext_st.mat
42.118	3.0003.1	face2r4ext_st	N/A	face2r4ext_st.mat
45.124	3.0005.2	animal4r2ext_st	N/A	animal4r2ext_st.mat
48.131	3.0005.3	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
51.137	3.0006.5	face3r5ext_st	N/A	face3r5ext_st.mat
54.16	3.0004.1	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
60.173	3.0004.2	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
63.18	3.0006.6	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
69.193	3.0003.2	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
75.206	3.0004.3	face3r1ext_st	N/A	face3r1ext_st.mat
78.212	3.0006.7	animal3r1ext_st	N/A	animal3r1ext_st.mat
81.218	3.0005.4	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
84.225	3.0006.8	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
87.231	3.0005.5	animal2r3ext_st	N/A	animal2r3ext_st.mat
90.238	3.0005.6	face5r1ext_st	N/A	face5r1ext_st.mat
93.244	3.0005.7	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
99.257	3.0004.4	animal5r3ext_st	N/A	animal5r3ext_st.mat
102.26	3.0004.5	animal5r4ext_st	N/A	animal5r4ext_st.mat
105.27	3.0005.8	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
108.28	3.0004.6	animal1r3ext_st	N/A	animal1r3ext_st.mat
111.28	3.0005.9	animal4r4ext_st	N/A	animal4r4ext_st.mat
114.29	3.0005.10	animal3r3ext_st	N/A	animal3r3ext_st.mat
117.3	3.0005.11	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
