onset	duration	trial_type	response_time	stim_file
6.0249	3.0006	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
9.0312	3.0005	face3r3ext_st	N/A	face3r3ext_st.mat
15.044	3.0004	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
18.051	3.0006.1	animal2r3ext_st	N/A	animal2r3ext_st.mat
21.057	3.0005.1	face4r3ext_st	N/A	face4r3ext_st.mat
24.064	3.0006.2	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
30.077	3.0004.1	animal4r3ext_st	N/A	animal4r3ext_st.mat
36.09	3.0004.2	face3r5ext_st	N/A	face3r5ext_st.mat
42.103	3.0004.3	animal1r3ext_st	N/A	animal1r3ext_st.mat
45.109	3.0005.2	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
48.115	3.0006.3	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
51.122	3.0006.4	animal4r5ext_st	N/A	animal4r5ext_st.mat
54.128	3.0006.5	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
57.135	3.0005.3	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
60.141	3.0005.4	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
63.148	3.0006.6	face3r2ext_st	N/A	face3r2ext_st.mat
66.154	3.0006.7	face4r1ext_st	N/A	face4r1ext_st.mat
69.161	3.0006.8	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
72.167	3.0005.5	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
75.174	3.0004.4	face2r2ext_st	N/A	face2r2ext_st.mat
78.18	3.0005.6	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
84.193	3.0004.5	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
90.206	3.0004.6	face5r1ext_st	N/A	face5r1ext_st.mat
93.212	3.0004.7	animal3r4ext_st	N/A	animal3r4ext_st.mat
96.219	3.0005.7	face1r2ext_st	N/A	face1r2ext_st.mat
102.23	3.0004.8	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
105.24	3.0005.8	face5r5ext_st	N/A	face5r5ext_st.mat
108.24	3.0006.9	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
111.25	3.0005.9	animal5r1ext_st	N/A	animal5r1ext_st.mat
117.26	3.0004.9	face5r2ext_st	N/A	face5r2ext_st.mat
120.27	3.0005.10	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
123.28	3.0006.10	face5r4ext_st	N/A	face5r4ext_st.mat
129.29	3.0004.10	animal4r4ext_st	N/A	animal4r4ext_st.mat
132.3	3.0006.11	animal5r3ext_st	N/A	animal5r3ext_st.mat
135.3	3.0006.12	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
138.31	3.0006.13	animal2r1ext_st	N/A	animal2r1ext_st.mat
141.32	3.0006.14	face4r2ext_st	N/A	face4r2ext_st.mat
144.32	3.0005.11	animal1r2ext_st	N/A	animal1r2ext_st.mat
150.34	3.0003	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
153.34	3.0005.12	face1r5ext_st	N/A	face1r5ext_st.mat
156.35	3.0005.13	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
159.35	3.0005.14	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
162.36	3.0006.15	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
165.37	3.0005.15	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
168.37	3.0005.16	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
