onset	duration	trial_type	response_time	stim_file
6.0153	2.9999	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
9.0318	3	animal5r1ext_st	N/A	animal5r1ext_st.mat
15.065	2.9999.1	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
18.082	3.1	face4r3ext_st	N/A	face4r3ext_st.mat
21.098	3.2	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
24.115	3.3	animal3r2ext_st	N/A	animal3r2ext_st.mat
30.148	3.4	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
33.164	3.0001	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
36.181	3.0001.1	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
39.198	2.9999.2	animal1r3ext_st	N/A	animal1r3ext_st.mat
45.231	2.9999.3	animal5r4ext_st	N/A	animal5r4ext_st.mat
51.264	2.9999.4	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
57.297	2.9998	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
60.314	3.0001.2	animal3r4ext_st	N/A	animal3r4ext_st.mat
63.33	3.5	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
66.347	3.6	animal1r4ext_st	N/A	animal1r4ext_st.mat
72.38	2.9999.5	animal2r2ext_st	N/A	animal2r2ext_st.mat
75.397	3.0001.3	animal4r1ext_st	N/A	animal4r1ext_st.mat
78.413	3.0001.4	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
81.43	3.7	face3r2ext_st	N/A	face3r2ext_st.mat
84.446	3.8	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
87.463	3.0001.5	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
90.48	3.9	face3r3ext_st	N/A	face3r3ext_st.mat
93.496	3.0001.6	face2r2ext_st	N/A	face2r2ext_st.mat
96.513	3.10	animal3r3ext_st	N/A	animal3r3ext_st.mat
102.55	2.9999.6	animal3r1ext_st	N/A	animal3r1ext_st.mat
105.56	3.11	face5r3ext_st	N/A	face5r3ext_st.mat
108.58	3.12	animal4r5ext_st	N/A	animal4r5ext_st.mat
111.6	3.13	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
114.61	3.0001.7	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
117.63	3.0001.8	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
123.66	2.9999.7	animal3r5ext_st	N/A	animal3r5ext_st.mat
126.68	3.14	face3r1ext_st	N/A	face3r1ext_st.mat
132.71	2.9998.1	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
138.75	2.9999.8	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
141.76	3.0001.9	face4r1ext_st	N/A	face4r1ext_st.mat
144.78	3.0001.10	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
147.79	3.0001.11	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
150.81	3.15	face3r4ext_st	N/A	face3r4ext_st.mat
156.84	2.9999.9	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
162.88	2.9999.10	face2r3ext_st	N/A	face2r3ext_st.mat
165.89	3.0001.12	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
168.91	3.16	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
171.93	3.17	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
174.94	3.18	face1r3ext_st	N/A	face1r3ext_st.mat
177.96	3.0001.13	animal1r2ext_st	N/A	animal1r2ext_st.mat
180.98	3.19	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
183.99	3.0001.14	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
190.03	3.20	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
193.04	3.21	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
196.06	3.22	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
202.09	2.9999.11	face2r5ext_st	N/A	face2r5ext_st.mat
205.11	3.23	animal2r3ext_st	N/A	animal2r3ext_st.mat
208.13	3.24	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
211.14	3.0001.15	face4r5ext_st	N/A	face4r5ext_st.mat
214.16	3.0001.16	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
220.19	2.9999.12	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
223.21	3.0001.17	animal4r2ext_st	N/A	animal4r2ext_st.mat
226.23	3.25	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
229.24	3.26	face4r2ext_st	N/A	face4r2ext_st.mat
235.28	2.9999.13	face2r4ext_st	N/A	face2r4ext_st.mat
238.29	3.0001.18	face2r1ext_st	N/A	face2r1ext_st.mat
244.33	3.27	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
250.36	3.28	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
253.38	3.0001.19	face1r1ext_st	N/A	face1r1ext_st.mat
256.39	3.0001.20	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
262.43	2.9999.14	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
265.44	3.29	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
268.46	3.30	face5r2ext_st	N/A	face5r2ext_st.mat
271.47	3.0001.21	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
274.49	3.31	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
277.51	3.32	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
283.54	3.33	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
286.56	3.34	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
289.57	3.35	animal2r1ext_st	N/A	animal2r1ext_st.mat
292.59	3.0001.22	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
298.62	2.9999.15	face1r5ext_st	N/A	face1r5ext_st.mat
301.64	3.0001.23	face1r2ext_st	N/A	face1r2ext_st.mat
304.66	3.36	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
310.69	2.9998.2	face5r1ext_st	N/A	face5r1ext_st.mat
313.71	3.0001.24	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
316.72	3.0001.25	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
319.74	3.37	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
322.76	3.0001.26	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
325.77	3.0001.27	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
331.81	2.9999.16	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
337.84	2.9998.3	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
340.86	3.38	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
343.87	3.39	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
346.89	3.40	animal4r4ext_st	N/A	animal4r4ext_st.mat
349.91	3.0001.28	face5r4ext_st	N/A	face5r4ext_st.mat
352.92	3.0001.29	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
355.94	3.0001.30	animal2r5ext_st	N/A	animal2r5ext_st.mat
358.96	3.0001.31	face3r5ext_st	N/A	face3r5ext_st.mat
361.97	3.41	animal5r2ext_st	N/A	animal5r2ext_st.mat
364.99	3.0001.32	animal4r3ext_st	N/A	animal4r3ext_st.mat
368.01	3.0001.33	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
371.02	3.42	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
374.04	3.0001.34	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
377.06	3.43	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
380.07	3.44	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
386.11	2.9999.17	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
392.14	2.9999.18	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
395.15	3.0001.35	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
398.17	3.45	animal5r3ext_st	N/A	animal5r3ext_st.mat
401.19	3.46	face4r4ext_st	N/A	face4r4ext_st.mat
404.2	3.0001.36	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
407.22	3.47	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
410.24	3.48	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
416.27	2.9999.19	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
419.29	3.0001.37	animal1r5ext_st	N/A	animal1r5ext_st.mat
422.3	3.0001.38	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
425.32	3.0001.39	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
428.34	3.0001.40	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
434.37	2.9999.20	face1r4ext_st	N/A	face1r4ext_st.mat
437.39	3.0001.41	face5r5ext_st	N/A	face5r5ext_st.mat
443.42	2.9999.21	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
446.44	3.49	animal2r4ext_st	N/A	animal2r4ext_st.mat
449.45	3.0001.42	animal5r5ext_st	N/A	animal5r5ext_st.mat
452.47	3.0001.43	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
458.5	2.9999.22	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
461.52	3.50	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
464.54	3.0001.44	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
467.55	3.0001.45	animal1r1ext_st	N/A	animal1r1ext_st.mat
470.57	3.0001.46	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
