onset	duration	trial_type	response_time	stim_file
6.0122	3.0001	animal4r5ext_st	N/A	animal4r5ext_st.mat
9.0287	3	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
12.045	3.0001.1	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
15.062	3.1	animal3r4ext_st	N/A	animal3r4ext_st.mat
18.078	3.0001.2	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
21.095	3.0001.3	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
24.112	3.2	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
27.128	3.0001.4	face3r2ext_st	N/A	face3r2ext_st.mat
30.145	3.3	face4r3ext_st	N/A	face4r3ext_st.mat
33.161	3.0001.5	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
36.178	3.0001.6	face1r1ext_st	N/A	face1r1ext_st.mat
39.195	3.4	face2r4ext_st	N/A	face2r4ext_st.mat
42.211	3.5	animal4r4ext_st	N/A	animal4r4ext_st.mat
45.228	3.6	animal2r3ext_st	N/A	animal2r3ext_st.mat
48.244	3.7	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
51.261	3.8	animal2r4ext_st	N/A	animal2r4ext_st.mat
54.277	3.9	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
57.294	3.10	animal3r2ext_st	N/A	animal3r2ext_st.mat
60.311	3.11	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
63.327	3.12	animal4r2ext_st	N/A	animal4r2ext_st.mat
66.344	3.13	animal2r2ext_st	N/A	animal2r2ext_st.mat
69.36	3.14	animal2r1ext_st	N/A	animal2r1ext_st.mat
75.394	3.15	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
81.427	2.9997	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
87.46	2.9999	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
90.476	3.0001.7	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
93.493	3.16	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
99.526	2.9999.1	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
102.54	3.0001.8	animal4r3ext_st	N/A	animal4r3ext_st.mat
