onset	duration	trial_type	response_time	stim_file
6.0162	3.0002	face5r1ext_st	N/A	face5r1ext_st.mat
9.0224	3.0005	animal5r3ext_st	N/A	animal5r3ext_st.mat
12.029	3.0004	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
15.035	3.0005.1	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
18.042	3.0004.1	face5r3ext_st	N/A	face5r3ext_st.mat
21.049	3.0005.2	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
24.055	3.0005.3	face5r4ext_st	N/A	face5r4ext_st.mat
27.062	3.0005.4	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
30.068	3.0005.5	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
33.075	3.0005.6	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
39.088	3.0004.2	face2r4ext_st	N/A	face2r4ext_st.mat
42.094	3.0005.7	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
48.108	3.0005.8	face2r1ext_st	N/A	face2r1ext_st.mat
51.114	3.0005.9	animal1r3ext_st	N/A	animal1r3ext_st.mat
54.121	3.0006	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
57.127	3.0005.10	face4r3ext_st	N/A	face4r3ext_st.mat
60.134	3.0006.1	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
66.147	3.0004.3	face3r2ext_st	N/A	face3r2ext_st.mat
69.153	3.0005.11	face1r5ext_st	N/A	face1r5ext_st.mat
75.167	3.0004.4	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
78.173	3.0005.12	face1r2ext_st	N/A	face1r2ext_st.mat
81.179	3.0006.2	animal5r1ext_st	N/A	animal5r1ext_st.mat
84.186	3.0005.13	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
90.199	3.0004.5	animal3r3ext_st	N/A	animal3r3ext_st.mat
93.206	3.0005.14	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
96.212	3.0004.6	animal5r5ext_st	N/A	animal5r5ext_st.mat
99.219	3.0005.15	face3r4ext_st	N/A	face3r4ext_st.mat
102.23	3.0005.16	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
105.23	3.0005.17	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
108.24	3.0006.3	face2r2ext_st	N/A	face2r2ext_st.mat
114.25	3.0003	animal2r1ext_st	N/A	animal2r1ext_st.mat
117.26	3.0004.7	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
123.27	3.0004.8	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
126.28	3.0006.4	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
132.29	3.0002.1	animal1r2ext_st	N/A	animal1r2ext_st.mat
138.3	3.0003.1	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
