name	x	y	z
AFz	1.8765688440000001	81.89607868	64.97905308
Fp1	-29.91012052	89.44374068	33.78915184
Fp2	20.66200271	88.44741715	31.27359291
AF3	-29.91374987	74.49135964	61.66740289
AF4	32.27057213	73.10007865	55.91482063
F7	-62.73397869	49.33066354	34.60132123
F3	-35.7529033	47.98850862	75.61721086
Fz	2.521777724	48.10405683	86.60424543
F4	39.22843523	46.51842617	70.58054417
F8	52.47862113	50.01828099	28.66965769
FC5	-63.78174126	24.04290226	56.84120046
FC1	-20.02351925	16.89647942	94.09537304
FC2	26.43585006	19.47971923	88.48022055
FC6	57.29073319	21.17000041	53.02778292
T7	-74.45197495	-2.271747813	33.49506148
C3	-51.64849572	-8.210377615	82.73269501
Cz	-3.9707329889999996	-18.33706392	100.4958365
C4	53.55337609	-8.132967318	72.53728255
T8	65.15145221	-2.282463393	20.80326749
CP5	-65.73644845	-31.85699178	54.10489198
CP1	-28.63328172	-40.72821591	87.7799929
CP2	21.59222246	-44.88849386	84.32959343
CP6	60.06926602	-37.13340964	43.14421802
P7	-64.37747833	-48.29441767	22.1725838
P3	-41.86295033	-55.01313525	64.78849564
Pz	-5.999220733	-66.03288151	64.3381038
P4	34.71602575	-61.53463893	56.05603767
P8	49.7350479	-54.51902855	4.452988347
PO3	-41.22763494	-71.55923167	29.68686925
PO4	26.21860846	-76.04275597	23.58764999
O1	-37.075884	-74.28908495	-3.214509028
O2	15.11319523	-76.85003466	-6.839454606
AF7	-45.58496685	74.63431474	36.20127297
AF8	36.88763254	73.31331955	30.934106
F5	-53.14545173	48.12955099	57.08612069
F1	-19.14626762	49.35724694	84.78695027
F2	23.41243093	49.36966765	80.66318645
F6	48.07416236	49.76334539	50.80598644
FT7	-72.31879767	24.06817888	28.974363099999998
FC3	-44.36812968	23.141762	79.66800051
FCz	0.661021261	18.87166792	97.6232829
FC4	44.444010299999995	18.43372439	76.30352191
FT8	62.74073079	22.89328382	24.32002828
C5	-68.75783137	1.043061936	56.23987088
C1	-28.66456795	-6.92479267	96.58425032
C2	25.77377805	-11.74880785	94.25779323
C6	63.47887134	-7.368857007000001	49.60306437
TP7	-72.90823126	-28.97995786	26.50809788
CP3	-54.64041883	-32.92355489	74.84738382
CPz	-5.281447709	-44.35105735	88.33234371
CP4	47.28834129	-41.08669681	67.95084501
TP8	58.457558299999995	-32.09140652	11.90541225
P5	-57.61491017	-53.19396985	47.51891181
P1	-27.42553734	-64.09404082	62.40750573
P2	17.88177437	-66.27138818	60.42883744
P6	46.26551793	-56.47393643	35.61155605
PO7	-51.33670093	-66.49813402	12.77103948
POz	-5.850720469	-79.94691645	29.46003938
PO8	33.6318167	-67.70424995	3.4603540980000003
Oz	-11.99999338	-78.86851589	-9.311657847000001
P9	-64.90492698	-44.07900577	-13.28884346
P10	42.03417615	-50.73350485	-28.52031941
TP9	-73.98731252	-19.43311091	-10.56398083
