name	x	y	z
AFz	6.475948729	67.94557241	47.58186814
Fp1	-19.19928542	88.85690068	11.02850171
Fp2	32.11943723	82.77119373	10.23332035
AF3	-27.01074322	66.74531921	42.86327002
AF4	38.65509803	61.70405135	38.90366864
F7	-62.03544023	46.8682685	10.04938794
F3	-36.839926399999996	36.72042613	53.34931527
Fz	4.9325637769999995	31.47269825	63.304442
F4	43.48261255	29.24457521	48.62912728
F8	63.80159376	36.05167545	6.776292647999999
FC5	-68.02217815	18.61988215	25.11019439
FC1	-25.15250454	0.167169604	63.43934104
FC2	25.59835307	-2.7330365260000002	60.824822399999995
FC6	65.9662022	8.148821854	23.12254161
T7	-77.64770852	-3.466975447	-8.944273897
C3	-61.16778396	-24.45790348	40.07844061
Cz	-2.0911597509999997	-38.97319649	58.50489895
C4	55.64767906	-30.40557767	36.19855123
T8	70.7121145	-13.43821132	-12.00861634
CP5	-69.68430939	-42.35383568	-2.952348962
CP1	-32.73650151	-63.91118824	35.64703966
CP2	24.9608628	-67.58234351	33.81341528
CP6	60.22325424	-45.067401200000006	-1.806577731
P7	-63.66883481	-45.60602082	-48.08237698
P3	-58.20131711	-67.18745296	3.57810565
Pz	-9.78648518	-84.46223113	6.157823907
P4	39.23981972	-75.10386447	-0.41404187200000003
P8	56.83144454	-51.96002846	-42.88726483
PO3	-41.52372891	-72.4927398	-34.86159789
PO4	29.08915245	-80.56632878	-34.15039955
O1	-34.67560815	-64.75510909	-63.41564551
O2	17.27320634	-74.77339674	-63.08947901
AF7	-43.03563714	74.56865365	16.22713128
AF8	51.72101778	64.01009875	16.99217281
F5	-54.78434867	48.7758162	31.54577351
F1	-21.03350041	40.36928721	58.52994152
F2	26.61220857	33.53183408	58.02643895
F6	57.90108682	35.5311564	32.47777762
FT7	-71.31238169	29.32840849	-11.81257134
FC3	-53.77386998	10.15912134	45.39424792
FCz	-0.980245688	0.264156011	65.64022781
FC4	47.83511542	0.05038474	46.15041276
FT8	70.62712469	14.95154252	-3.424380461
C5	-77.61002726	-7.989744165	4.244686524
C1	-35.32141307	-30.83079699	53.88538005
C2	25.52411247	-35.24623208	53.82246968
C6	67.2819242	-20.16254374	14.01831746
TP7	-71.75269352	-18.49049748	-36.01050931
CP3	-62.67062047	-47.49303684	15.23019385
CPz	-11.18540299	-65.48334426	34.73287248
CP4	47.92240819	-55.75870175	17.212716
TP8	64.88617545	-31.42827675	-35.54594960000001
P5	-62.4142264	-51.21920509	-20.64242145
P1	-35.17916923	-78.15968295	1.163259346
P2	17.27120119	-83.77518995	4.523372011
P6	50.03922202	-66.48359225	-19.46264741
PO7	-48.39802903	-59.57970776	-55.64731424
POz	-10.33633186	-85.63646537	-35.28455044
PO8	35.96621777	-68.42916558	-49.94720864
Oz	-7.17807367	-69.68755564	-66.07580504
P9	-56.40106446	-26.06529748	-76.23108655
P10	47.76790886	-41.27004822	-79.87519946
TP9	-61.39992649	-13.34980311	-71.70662026
