onset	duration	trial_type	response_time	stim_file
6.0174	3.0006	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
9.0268	3.0007	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
12.036	3.0007.1	face3r3ext_st	N/A	face3r3ext_st.mat
18.055	3.0006.1	face2r4ext_st	N/A	face2r4ext_st.mat
21.064	3.0006.2	face1r4ext_st	N/A	face1r4ext_st.mat
24.074	3.0008	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
27.083	3.0008.1	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
30.093	3.0007.2	animal1r1ext_st	N/A	animal1r1ext_st.mat
33.102	3.0006.3	face5r2ext_st	N/A	face5r2ext_st.mat
36.111	3.0007.3	animal4r4ext_st	N/A	animal4r4ext_st.mat
39.121	3.0006.4	animal3r3ext_st	N/A	animal3r3ext_st.mat
42.13	3.0008.2	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
48.149	3.0005	animal3r2ext_st	N/A	animal3r2ext_st.mat
54.168	3.0006.5	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
57.177	3.0007.4	animal2r2ext_st	N/A	animal2r2ext_st.mat
60.187	3.0007.5	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
63.196	3.0007.6	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
69.215	3.0006.6	animal5r5ext_st	N/A	animal5r5ext_st.mat
72.224	3.0007.7	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
78.243	3.0006.7	animal3r4ext_st	N/A	animal3r4ext_st.mat
81.252	3.0007.8	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
84.262	3.0008.3	face5r5ext_st	N/A	face5r5ext_st.mat
87.271	3.0007.9	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
90.281	3.0008.4	animal2r4ext_st	N/A	animal2r4ext_st.mat
93.29	3.0007.10	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
96.3	3.0006.8	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
102.32	3.0006.9	face4r3ext_st	N/A	face4r3ext_st.mat
105.33	3.0007.11	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
108.34	3.0007.12	face5r1ext_st	N/A	face5r1ext_st.mat
114.36	3.0006.10	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
117.37	3.0007.13	animal1r4ext_st	N/A	animal1r4ext_st.mat
120.37	3.0006.11	face2r2ext_st	N/A	face2r2ext_st.mat
123.38	3.0008.5	face4r2ext_st	N/A	face4r2ext_st.mat
