onset	duration	trial_type	response_time	stim_file
6.0233	3.0006	animal2r4ext_st	N/A	animal2r4ext_st.mat
12.042	3.0003	animal5r5ext_st	N/A	animal5r5ext_st.mat
15.052	3.0007	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
18.061	3.0008	animal1r3ext_st	N/A	animal1r3ext_st.mat
21.07	3.0006.1	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
24.08	3.0007.1	face2r2ext_st	N/A	face2r2ext_st.mat
30.099	3.0006.2	animal4r5ext_st	N/A	animal4r5ext_st.mat
33.108	3.0007.2	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
36.118	3.0007.3	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
39.127	3.0007.4	face2r5ext_st	N/A	face2r5ext_st.mat
42.136	3.0007.5	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
45.146	3.0007.6	face1r2ext_st	N/A	face1r2ext_st.mat
51.165	3.0006.3	face3r1ext_st	N/A	face3r1ext_st.mat
57.184	3.0005	face3r5ext_st	N/A	face3r5ext_st.mat
60.193	3.0007.7	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
66.212	3.0005.1	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
69.221	3.0007.8	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
72.231	3.0007.9	face5r2ext_st	N/A	face5r2ext_st.mat
78.25	3.0006.4	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
81.259	3.0006.5	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
84.268	3.0006.6	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
87.278	3.0006.7	face4r2ext_st	N/A	face4r2ext_st.mat
93.297	3.0006.8	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
96.306	3.0007.10	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
99.315	3.0007.11	face4r1ext_st	N/A	face4r1ext_st.mat
102.32	3.0007.12	animal3r4ext_st	N/A	animal3r4ext_st.mat
105.33	3.0007.13	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
108.34	3.0007.14	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
111.35	3.0007.15	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
114.36	3.0007.16	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
117.37	3.0006.9	animal2r1ext_st	N/A	animal2r1ext_st.mat
